date,year,month,sum,mean,pixels,region,type
2021-08-01,2021,8,11447.439998731017,0.4799362736345387,23852,Leh (Ladakh),Raw
2021-09-01,2021,9,9563.980022326112,0.4009718271979755,23852,Leh (Ladakh),Raw
2021-10-01,2021,10,14446.159932613373,0.6056582229001078,23852,Leh (Ladakh),Raw
2021-11-01,2021,11,12701.619980245829,0.5325180270101387,23852,Leh (Ladakh),Raw
2021-12-01,2021,12,14447.519942075014,0.6057152415761787,23852,Leh (Ladakh),Raw
2022-01-01,2022,1,13061.579989977181,0.5476094243659727,23852,Leh (Ladakh),Raw
2022-02-01,2022,2,14312.22995133698,0.6000431809213894,23852,Leh (Ladakh),Raw
2022-03-01,2022,3,13994.359967023134,0.5867164165278859,23852,Leh (Ladakh),Raw
2022-04-01,2022,4,14169.34993749857,0.5940529069888718,23852,Leh (Ladakh),Raw
2022-05-01,2022,5,12677.789971098304,0.5315189489811464,23852,Leh (Ladakh),Raw
2022-06-01,2022,6,13880.809963718057,0.5819558093123451,23852,Leh (Ladakh),Raw
2022-07-01,2022,7,14868.56995433569,0.623367849837988,23852,Leh (Ladakh),Raw
2022-08-01,2022,8,10408.690036833286,0.43638646808792914,23852,Leh (Ladakh),Raw
2022-09-01,2022,9,14437.919940829277,0.6053127595517892,23852,Leh (Ladakh),Raw
2022-10-01,2022,10,14634.199951589108,0.613541839325386,23852,Leh (Ladakh),Raw
2022-11-01,2022,11,14668.529959887266,0.6149811319758203,23852,Leh (Ladakh),Raw
2022-12-01,2022,12,14063.039981082082,0.5895958402264834,23852,Leh (Ladakh),Raw
2023-01-01,2023,1,15301.72997276485,0.6415281725962121,23852,Leh (Ladakh),Raw
2023-02-01,2023,2,14713.879960974678,0.6168824400878198,23852,Leh (Ladakh),Raw
2023-03-01,2023,3,14797.309968862683,0.629485258385276,23507,Leh (Ladakh),Raw
2023-04-01,2023,4,14691.519987177104,0.6182519036812315,23763,Leh (Ladakh),Raw
2023-05-01,2023,5,17121.20995732583,0.728128347253799,23514,Leh (Ladakh),Raw
2023-06-01,2023,6,16880.8399553895,0.7309938057155632,23093,Leh (Ladakh),Raw
2023-07-01,2023,7,13970.15997863561,0.6189703136302884,22570,Leh (Ladakh),Raw
2023-08-01,2023,8,13360.909989759326,0.5648955686520939,23652,Leh (Ladakh),Raw
2023-09-01,2023,9,16464.58993729204,0.6911796287851912,23821,Leh (Ladakh),Raw
2023-10-01,2023,10,17896.64995481074,0.7506039489498275,23843,Leh (Ladakh),Raw
2023-11-01,2023,11,17698.909941345453,0.7477359502047086,23670,Leh (Ladakh),Raw
2023-12-01,2023,12,15655.44996701181,0.6580131963269926,23792,Leh (Ladakh),Raw
2024-01-01,2024,1,12876.769996637478,0.5728100532312046,22480,Leh (Ladakh),Raw
2024-02-01,2024,2,15976.639943195507,0.6818299736768312,23432,Leh (Ladakh),Raw
2024-03-01,2024,3,17056.559946766123,0.7202635001379216,23681,Leh (Ladakh),Raw
2024-04-01,2024,4,16657.91994665563,0.7068924229431628,23565,Leh (Ladakh),Raw
2024-05-01,2024,5,14228.35000844486,0.605384419369649,23503,Leh (Ladakh),Raw
2024-06-01,2024,6,16935.58995737508,0.729730694474969,23208,Leh (Ladakh),Raw
2024-07-01,2024,7,13651.149990584701,0.577704189191058,23630,Leh (Ladakh),Raw
2024-08-01,2024,8,15395.149939998984,0.6472085567746662,23787,Leh (Ladakh),Raw
